document_id,process_instance_id,policy_id,client_id,created_at,count_last_minute,content_type,size,anomaly_label
d00001,p0001,reposicion_tarjeta,c0001,2026-03-02T09:04:00,1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,153548,0
d00002,p0001,reposicion_tarjeta,c0001,2026-03-02T09:05:00,2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,194785,0
d00003,p0001,reposicion_tarjeta,c0001,2026-03-02T09:06:00,3,application/pdf,236022,0
d00004,p0002,reposicion_tarjeta,c0002,2026-03-03T10:04:00,1,application/pdf,170859,0
d00005,p0002,reposicion_tarjeta,c0002,2026-03-03T10:05:00,2,image/jpeg,212096,0
d00006,p0002,reposicion_tarjeta,c0002,2026-03-03T10:06:00,3,image/png,253333,0
d00007,p0002,reposicion_tarjeta,c0002,2026-03-03T10:07:00,4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,294570,0
d00008,p0003,reposicion_tarjeta,c0003,2026-03-04T11:04:00,1,image/png,188170,0
d00009,p0003,reposicion_tarjeta,c0003,2026-03-04T11:05:00,2,application/vnd.openxmlformats-officedocument.wordprocessingml.document,229407,0
d00010,p0003,reposicion_tarjeta,c0003,2026-03-04T11:06:00,3,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,270644,0
d00011,p0003,reposicion_tarjeta,c0003,2026-03-04T11:07:00,4,application/pdf,311881,0
d00012,p0003,reposicion_tarjeta,c0003,2026-03-04T11:08:00,5,image/jpeg,353118,0
d00013,p0004,reposicion_tarjeta,c0004,2026-03-05T12:04:00,1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,205481,0
d00014,p0004,reposicion_tarjeta,c0004,2026-03-05T12:05:00,2,application/pdf,246718,0
d00015,p0004,reposicion_tarjeta,c0004,2026-03-05T12:06:00,3,image/jpeg,287955,0
d00016,p0004,reposicion_tarjeta,c0004,2026-03-05T12:07:00,4,image/png,329192,0
d00017,p0004,reposicion_tarjeta,c0004,2026-03-05T12:08:00,5,application/vnd.openxmlformats-officedocument.wordprocessingml.document,370429,0
d00018,p0004,reposicion_tarjeta,c0004,2026-03-05T12:09:00,6,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,411666,0
d00019,p0005,reposicion_tarjeta,c0005,2026-03-06T13:04:00,1,image/jpeg,222792,0
d00020,p0005,reposicion_tarjeta,c0005,2026-03-06T13:05:00,2,image/png,264029,0
d00021,p0006,reposicion_tarjeta,c0006,2026-03-07T14:04:00,1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,240103,0
d00022,p0006,reposicion_tarjeta,c0006,2026-03-07T14:05:00,2,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,281340,0
d00023,p0006,reposicion_tarjeta,c0006,2026-03-07T14:06:00,3,application/pdf,322577,0
d00024,p0007,reposicion_tarjeta,c0007,2026-03-08T08:04:00,1,application/pdf,257414,0
d00025,p0007,reposicion_tarjeta,c0007,2026-03-08T08:05:00,2,image/jpeg,298651,0
d00026,p0007,reposicion_tarjeta,c0007,2026-03-08T08:06:00,3,image/png,339888,0
d00027,p0007,reposicion_tarjeta,c0007,2026-03-08T08:07:00,4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,381125,0
d00028,p0008,reposicion_tarjeta,c0008,2026-03-09T09:04:00,1,image/png,274725,0
d00029,p0008,reposicion_tarjeta,c0008,2026-03-09T09:05:00,2,application/vnd.openxmlformats-officedocument.wordprocessingml.document,315962,0
d00030,p0008,reposicion_tarjeta,c0008,2026-03-09T09:06:00,3,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,357199,0
d00031,p0008,reposicion_tarjeta,c0008,2026-03-09T09:07:00,4,application/pdf,398436,0
