policy_id,process_instance_id,task_id,lane_id,status,created_at,started_at,completed_at,assigned_to,client_type,urgency_score,priority_label,next_task_id,rejected_next
reposicion_tarjeta,p0001,recepcion_solicitud,atencion,COMPLETED,2026-03-02T09:00:00,2026-03-02T09:03:00,2026-03-02T09:39:00,ana,regular,0.45,MEDIA,validacion_identidad,0
reposicion_tarjeta,p0001,validacion_identidad,operaciones,COMPLETED,2026-03-02T09:45:00,2026-03-02T09:49:00,2026-03-02T10:18:00,luis,regular,0.45,MEDIA,bloqueo_emision,0
reposicion_tarjeta,p0001,bloqueo_emision,seguridad,COMPLETED,2026-03-02T10:25:00,2026-03-02T10:30:00,2026-03-02T11:13:00,marco,regular,0.45,MEDIA,entrega_tarjeta,0
reposicion_tarjeta,p0001,entrega_tarjeta,atencion,COMPLETED,2026-03-02T11:21:00,2026-03-02T11:27:00,2026-03-02T11:45:00,ana,regular,0.45,MEDIA,cierre,0
reposicion_tarjeta,p0002,recepcion_solicitud,atencion,COMPLETED,2026-03-03T10:00:00,2026-03-03T10:04:00,2026-03-03T10:39:00,ana,regular,0.45,MEDIA,validacion_identidad,0
reposicion_tarjeta,p0002,validacion_identidad,operaciones,COMPLETED,2026-03-03T10:46:00,2026-03-03T10:51:00,2026-03-03T11:38:00,luis,regular,0.45,MEDIA,bloqueo_emision,0
reposicion_tarjeta,p0002,bloqueo_emision,seguridad,COMPLETED,2026-03-03T11:46:00,2026-03-03T11:52:00,2026-03-03T12:53:00,marco,regular,0.45,MEDIA,entrega_tarjeta,0
reposicion_tarjeta,p0002,entrega_tarjeta,atencion,COMPLETED,2026-03-03T13:02:00,2026-03-03T13:09:00,2026-03-03T13:24:00,ana,regular,0.45,MEDIA,cierre,0
reposicion_tarjeta,p0003,recepcion_solicitud,atencion,COMPLETED,2026-03-04T11:00:00,2026-03-04T11:05:00,2026-03-04T11:39:00,ana,regular,0.45,MEDIA,validacion_identidad,0
reposicion_tarjeta,p0003,validacion_identidad,operaciones,COMPLETED,2026-03-04T11:47:00,2026-03-04T11:53:00,2026-03-04T12:24:00,luis,regular,0.45,MEDIA,bloqueo_emision,0
reposicion_tarjeta,p0003,bloqueo_emision,seguridad,COMPLETED,2026-03-04T12:33:00,2026-03-04T12:40:00,2026-03-04T13:59:00,marco,regular,0.45,MEDIA,entrega_tarjeta,0
reposicion_tarjeta,p0003,entrega_tarjeta,atencion,COMPLETED,2026-03-04T14:09:00,2026-03-04T14:17:00,2026-03-04T14:50:00,ana,regular,0.45,MEDIA,cierre,0
reposicion_tarjeta,p0004,recepcion_solicitud,atencion,COMPLETED,2026-03-05T12:00:00,2026-03-05T12:06:00,2026-03-05T12:39:00,ana,regular,0.45,MEDIA,validacion_identidad,0
reposicion_tarjeta,p0004,validacion_identidad,operaciones,COMPLETED,2026-03-05T12:48:00,2026-03-05T12:55:00,2026-03-05T13:44:00,luis,regular,0.45,MEDIA,bloqueo_emision,0
reposicion_tarjeta,p0004,bloqueo_emision,seguridad,COMPLETED,2026-03-05T13:54:00,2026-03-05T14:02:00,2026-03-05T14:48:00,marco,regular,0.45,MEDIA,entrega_tarjeta,0
reposicion_tarjeta,p0004,entrega_tarjeta,atencion,COMPLETED,2026-03-05T14:59:00,2026-03-05T15:08:00,2026-03-05T15:38:00,ana,regular,0.45,MEDIA,cierre,0
reposicion_tarjeta,p0005,recepcion_solicitud,atencion,COMPLETED,2026-03-06T13:00:00,2026-03-06T13:07:00,2026-03-06T13:39:00,ana,regular,0.45,MEDIA,validacion_identidad,0
reposicion_tarjeta,p0005,validacion_identidad,operaciones,COMPLETED,2026-03-06T13:49:00,2026-03-06T13:57:00,2026-03-06T14:30:00,luis,regular,0.45,MEDIA,bloqueo_emision,0
reposicion_tarjeta,p0005,bloqueo_emision,seguridad,COMPLETED,2026-03-06T14:41:00,2026-03-06T14:50:00,2026-03-06T15:54:00,marco,regular,0.45,MEDIA,entrega_tarjeta,0
reposicion_tarjeta,p0005,entrega_tarjeta,atencion,COMPLETED,2026-03-06T16:06:00,2026-03-06T16:16:00,2026-03-06T16:43:00,ana,regular,0.45,MEDIA,cierre,0
reposicion_tarjeta,p0006,recepcion_solicitud,atencion,COMPLETED,2026-03-07T14:00:00,2026-03-07T14:08:00,2026-03-07T14:39:00,ana,regular,0.45,MEDIA,validacion_identidad,0
reposicion_tarjeta,p0006,validacion_identidad,operaciones,COMPLETED,2026-03-07T14:50:00,2026-03-07T14:59:00,2026-03-07T15:50:00,luis,regular,0.45,MEDIA,bloqueo_emision,0
reposicion_tarjeta,p0006,bloqueo_emision,seguridad,COMPLETED,2026-03-07T16:02:00,2026-03-07T16:12:00,2026-03-07T16:43:00,marco,regular,0.45,MEDIA,entrega_tarjeta,0
reposicion_tarjeta,p0006,entrega_tarjeta,atencion,COMPLETED,2026-03-07T16:56:00,2026-03-07T17:07:00,2026-03-07T17:31:00,ana,regular,0.45,MEDIA,cierre,0
reposicion_tarjeta,p0007,recepcion_solicitud,atencion,COMPLETED,2026-03-08T08:00:00,2026-03-08T08:09:00,2026-03-08T08:39:00,ana,regular,0.45,MEDIA,validacion_identidad,0
reposicion_tarjeta,p0007,validacion_identidad,operaciones,COMPLETED,2026-03-08T08:51:00,2026-03-08T09:01:00,2026-03-08T09:36:00,luis,regular,0.45,MEDIA,bloqueo_emision,0
